id,class,kind,in_set,four_way,a_in_degree,b_wdegree,c_in_wdeg,c_out_wdeg,place_in,community,label
G1048,G,person,True,I_person_entry,26,673,4,29,0,0,"מהר""ם (משה) אלשקר"
G1408,G,person,True,I_person_entry,26,474,14,22,0,3,"מהרשד""ם"
S0586,S,book,True,III_book_entry,26,240,27,4,0,4,"חבור על ח""מ"
S0641,S,book,True,III_book_entry,26,589,33,6,0,0,חידושים על מסכת חולין
O1008,O,person,False,II_person_external,25,444,15,24,0,4,רבי יואל סירקיש
O1044,O,person,False,II_person_external,25,141,6,31,0,9,רבי יעקב עמדין
S0658,S,book,True,III_book_entry,25,68,1,0,0,17,חכמתא רבתי
S1139,S,book,True,III_book_entry,25,655,17,13,0,1,מצרף לחכמה
S1992,S,book,True,III_book_entry,25,504,35,8,0,8,תלמוד ירושלמי
S1998,S,book,True,III_book_entry,25,508,9,27,0,0,תמים דעים
O0250,O,book,False,IV_book_external,24,247,27,1,0,4,חושן משפט
O0817,O,book,False,IV_book_external,24,462,3,27,0,1,צמח דוד
S1977,S,book,True,III_book_entry,24,158,27,8,0,3,תורת חיים
G0860,G,person,True,I_person_entry,23,510,17,42,0,0,"הריב""ש (רבינו יצחק בר ששת"
G0973,G,person,True,I_person_entry,23,309,8,27,0,2,"מהר""ר מאיר פאפירש"
G1126,G,person,True,I_person_entry,23,387,17,33,0,2,מה' משה קורדובירו
G0157,G,person,True,I_person_entry,22,169,9,22,0,2,רבינו אליהו די וידאש
G0214,G,person,True,I_person_entry,22,429,32,26,0,1,רבינו אלעזר מגרמיזא
G0659,G,person,True,I_person_entry,22,603,5,39,0,5,"מה' יש""ר (יוסף שלמה רופא) מקאנדיא"
G1243,G,person,True,I_person_entry,22,357,6,21,0,9,"מהר""ר צבי אשכנזי"
O0514,O,book,False,IV_book_external,22,830,19,6,0,0,מסכת גיטין
O0578,O,person,False,II_person_external,22,617,14,19,0,4,משה רבינו
O1018,O,person,False,II_person_external,22,523,23,31,0,6,רבי יוסף בי רב
S0813,S,book,True,III_book_entry,22,284,12,20,0,1,כלבו
G0306,G,person,True,I_person_entry,21,353,33,12,0,1,רבינו גרשום בר יהודה מאור הגולה
G0359,G,person,True,I_person_entry,21,248,16,21,0,4,"מהר""ר דוד סג""ל"
G0579,G,person,True,I_person_entry,21,394,32,31,0,0,רבינו יונה החסיד מגירונדא
G0874,G,person,True,I_person_entry,21,698,19,33,0,1,רבינו ישעיה הראשון
G1029,G,person,True,I_person_entry,21,179,15,20,0,7,"מהר""ר מרדכי יפה"
G1069,G,person,True,I_person_entry,21,165,4,25,0,2,"מהר""ר משה חאגיז"
O1353,O,book,False,IV_book_external,21,697,14,28,0,1,שלשלת הקבלה
S1375,S,book,True,III_book_entry,21,249,20,8,0,11,עין יעקב
S1501,S,book,True,III_book_entry,21,688,28,2,0,0,פירוש בפרקים ממס' כתובות
S2000,S,book,True,III_book_entry,21,227,21,8,0,0,תמת ישרים
G0089,G,person,True,I_person_entry,20,259,23,19,0,0,רבינו אברהם ן' עזרא
G0197,G,person,True,I_person_entry,20,538,19,15,0,1,רבינו אליעזר ממיץ
G0555,G,person,True,I_person_entry,20,402,15,36,0,4,"מהר""ר יהושע פלק כ""ץ"
G0700,G,person,True,I_person_entry,20,475,4,28,0,0,"מהר""ר יעקב חאגיז"
G0753,G,person,True,I_person_entry,20,402,14,23,0,0,"מהר""ר יצחק אבוהב"
G1464,G,person,True,I_person_entry,20,608,20,25,0,1,רבינו שמשון בר אברהם משאנץ
O0044,O,person,False,II_person_external,20,517,17,24,0,0,אליהו הנביא
O0592,O,book,False,IV_book_external,20,176,17,4,0,3,"משנה תורה להרמב""ם"
O1183,O,person,False,II_person_external,20,592,17,19,0,2,רבי שמעון בר יוחאי
O1358,O,book,False,IV_book_external,20,233,15,10,0,4,שם הגדולים - חלק א' (מערכת גדולים)
G0399,G,person,True,I_person_entry,19,271,24,27,0,0,"מהרז""ך"
G0738,G,person,True,I_person_entry,19,214,12,47,0,2,"מהר""ר יעקב צמח"
G1376,G,person,True,I_person_entry,19,329,6,16,0,3,"מהר""ש גאון"
G1407,G,person,True,I_person_entry,19,496,21,28,0,1,"רשב""ם"
O1046,O,person,False,II_person_external,19,220,8,30,0,7,רבי יעקב ריישר
O1112,O,person,False,II_person_external,19,132,15,19,0,2,"רבי משה גלאנטי (המג""ן)"
S0849,S,book,True,III_book_entry,19,442,26,20,0,0,כסף משנה
S1529,S,book,True,III_book_entry,19,112,12,7,0,3,פני משה
G0132,G,person,True,I_person_entry,18,419,24,26,0,0,רבינו אהרן הלוי
G0232,G,person,True,I_person_entry,18,240,10,15,0,4,"מהר""ר אריה יהודה בן הרב בית חדש"
G0425,G,person,True,I_person_entry,18,191,1,21,0,11,"מהר""ר חיים במ' יצחק אלפאנדרי"
G0463,G,person,True,I_person_entry,18,384,13,17,0,1,רבינו חננאל
G0689,G,person,True,I_person_entry,18,484,16,18,0,0,"רבינו יעקב בן הרא""ש"
G0692,G,person,True,I_person_entry,18,361,13,15,0,6,"מהר""ר יעקב בי רב"
G0719,G,person,True,I_person_entry,18,416,22,20,0,7,"מהרי""ל (מהר""ר יעקב סג""ל"
G0897,G,person,True,I_person_entry,18,260,7,25,0,6,"מהר""ר ישראל יעקב אלגאזי"
G1047,G,person,True,I_person_entry,18,302,16,16,0,6,"מהר""ר משה אלשיך"
G1199,G,person,True,I_person_entry,18,285,27,19,0,1,רבינו סעדיה גאון
G1424,G,person,True,I_person_entry,18,70,10,29,0,16,"מהר""ר שמואל קאידינובר"
G1489,G,person,True,I_person_entry,18,218,8,13,0,0,"מהר""ר תם ן' יחייא"
O0504,O,book,False,IV_book_external,18,472,22,6,0,0,מסכת בבא מציעא
S0140,S,book,True,III_book_entry,18,428,9,14,0,0,ארחות חיים
S0427,S,book,True,III_book_entry,18,590,6,23,0,1,הגהות מיימוניות
S0735,S,book,True,III_book_entry,18,559,17,6,0,0,יד מלאכי
G0017,G,person,True,I_person_entry,17,165,4,35,0,2,"מהר""ר אברהם אזולאי"
G0119,G,person,True,I_person_entry,17,462,3,29,0,2,"מהר""ר אהרן אלפנדרי"
G0166,G,person,True,I_person_entry,17,86,1,18,0,12,"מהר""ר אליהו הכהן"
G0199,G,person,True,I_person_entry,17,207,27,21,0,1,רבינו אליעזר בר נתן
G0454,G,person,True,I_person_entry,17,112,2,22,0,13,"מהר""ר חיים ן' עטר"
G0740,G,person,True,I_person_entry,17,175,15,27,0,6,"מהר""ר יעקב קאשטרו"
G0863,G,person,True,I_person_entry,17,394,13,18,0,3,רבינו ירוחם
G0943,G,person,True,I_person_entry,17,192,14,27,0,7,"מהר""ר ליווא (מפראג"
G1011,G,person,True,I_person_entry,17,118,12,32,0,0,"מהר""ר מנחם בר שלמה לבית מאיר (המאירי"
O0510,O,book,False,IV_book_external,17,251,19,1,0,0,מסכת ברכות
O0523,O,book,False,IV_book_external,17,795,18,6,0,0,מסכת יבמות
S0279,S,book,True,III_book_entry,17,163,11,1,0,10,בתי כהונה
S0933,S,book,True,III_book_entry,17,168,15,11,0,4,לקט הקמח
S2036,S,book,True,III_book_entry,17,334,16,5,0,0,"תשב""ץ"
G0072,G,person,True,I_person_entry,16,240,10,17,0,2,מה' אברהם הלוי
G0195,G,person,True,I_person_entry,16,258,4,13,0,10,"מה""ר אליעזר ן' יעקב נחום"
G0219,G,person,True,I_person_entry,16,120,14,22,0,1,רבינו אלעזר בעל ס' רוקח
G0270,G,person,True,I_person_entry,16,265,1,18,0,0,"מהר""ר בצלאל"
G0439,G,person,True,I_person_entry,16,154,14,26,0,7,"מהר""ר חיים יאיר בכרך"
O0010,O,book,False,IV_book_external,16,172,17,1,0,4,אבן העזר
O0554,O,book,False,IV_book_external,16,589,14,3,0,0,מסכת שבת
O1304,O,book,False,IV_book_external,16,224,12,10,0,1,"שו""ת מהר""ם מרוטנבורג"
G0445,G,person,True,I_person_entry,15,99,7,17,0,12,"מהר""ר חיים הכהן"
G0510,G,person,True,I_person_entry,15,259,16,14,0,1,רבינו יהודה החסיד
G1207,G,person,True,I_person_entry,15,305,10,14,0,7,"מהר""ר עוזר משלעזיא"
S0203,S,book,True,III_book_entry,15,217,12,9,0,4,בית חדש
S1321,S,book,True,III_book_entry,15,184,13,1,0,5,ספרי
S1569,S,book,True,III_book_entry,15,161,10,14,0,0,פרי מגדים
S1809,S,book,True,III_book_entry,15,236,8,7,0,7,שבות יעקב
G0125,G,person,True,I_person_entry,14,116,5,15,0,5,"מהר""ר אהרן ן' חיים"
G0412,G,person,True,I_person_entry,14,270,11,11,0,0,רבינו זרחיה
G0575,G,person,True,I_person_entry,14,296,8,6,0,5,"מהר""ר יום טוב צהלון"
G0582,G,person,True,I_person_entry,14,262,2,13,0,11,"מורי הרב מהר""ר יונה נבון"
G1324,G,person,True,I_person_entry,14,221,7,10,0,3,"מהרש""ך"
G1388,G,person,True,I_person_entry,14,145,8,13,0,3,"מהר""ר שמואל חייון"
G1389,G,person,True,I_person_entry,14,221,15,17,0,2,"מהר""ר שמואל בן מהרח""ו"
O0489,O,book,False,IV_book_external,14,435,4,9,0,4,מחזיק ברכה
O0553,O,book,False,IV_book_external,14,465,17,2,0,0,מסכת שבועות
S0396,S,book,True,III_book_entry,14,204,12,10,0,7,דרכי משה
S0566,S,book,True,III_book_entry,14,11,4,0,0,14,זרע אנשים
S0608,S,book,True,III_book_entry,14,246,11,8,0,7,חות יאיר
S0622,S,book,True,III_book_entry,14,391,14,5,0,0,"חידושי הלכות על פסחים ביצה קדושין וב""ק"
S0666,S,book,True,III_book_entry,14,146,12,5,0,2,חסד לאברהם
S1312,S,book,True,III_book_entry,14,210,23,2,0,5,ספרא
S1422,S,book,True,III_book_entry,14,294,10,9,0,1,ערוך
S1541,S,book,True,III_book_entry,14,186,30,9,0,0,"פסקי הרא""ש"
S1836,S,book,True,III_book_entry,14,437,13,7,0,8,שיח יצחק
S1975,S,book,True,III_book_entry,14,204,24,3,0,7,תורת החטאת
G0009,G,person,True,I_person_entry,13,313,9,22,0,5,"הראב""ד (רבינו אברהם בר דוד"
G0627,G,person,True,I_person_entry,13,431,12,8,0,18,רבינו יוסף הלוי ן' מיגאש
G1026,G,person,True,I_person_entry,13,283,15,14,0,1,רבינו מרדכי (בר הלל
G1250,G,person,True,I_person_entry,13,197,12,21,0,1,רבינו צדקיה בר אברהם הרופא
O0214,O,person,False,II_person_external,13,57,1,16,0,3,הרב המחבר (כינוי גנרי — מחבר הספר הנדון)
O0507,O,book,False,IV_book_external,13,206,13,0,0,0,מסכת ביצה
O1206,O,person,False,II_person_external,13,485,11,10,0,1,"רבינו יצחק (הר""י הזקן)"
S0640,S,book,True,III_book_entry,13,439,13,3,0,0,חידושים על מסכת סנהדרין
S0705,S,book,True,III_book_entry,13,134,19,17,0,4,טורי זהב
S0766,S,book,True,III_book_entry,13,549,13,12,0,0,ים של שלמה
S1469,S,book,True,III_book_entry,13,184,28,4,0,10,"פירוש המשנה של הרמב""ם"
S1595,S,book,True,III_book_entry,13,355,6,9,0,0,צדה לדרך
G0012,G,person,True,I_person_entry,12,202,19,13,0,0,"הראב""ד"
G0133,G,person,True,I_person_entry,12,177,9,15,0,3,"מהר""ר אהרן לפפא"
G0181,G,person,True,I_person_entry,12,255,2,15,0,7,"מהר""ר אליהו שפירא"
G0370,G,person,True,I_person_entry,12,234,10,10,0,0,רבינו דוד קמחי
G0394,G,person,True,I_person_entry,12,458,22,27,0,0,רבינו וידאל די טולושא
G0615,G,person,True,I_person_entry,12,226,16,14,0,6,"מהר""ר יוסף טאיטאצק"
G0855,G,person,True,I_person_entry,12,329,19,24,0,1,רבינו יצחק בעל התוספות
G0953,G,person,True,I_person_entry,12,355,27,18,0,1,רבינו מאיר בר ברוך
G0964,G,person,True,I_person_entry,12,318,26,19,0,0,"רבינו מאיר הלוי (הרמ""ה"
G0989,G,person,True,I_person_entry,12,471,5,24,0,0,"מהר""ר מלאכי הכהן"
G1255,G,person,True,I_person_entry,12,133,1,15,0,2,"מהר""ר צמח"
G1313,G,person,True,I_person_entry,12,35,5,8,0,3,מה' שלמה אמאריליו
G1353,G,person,True,I_person_entry,12,358,5,13,0,0,"מהר""ש בן הרשב""ץ"
G1403,G,person,True,I_person_entry,12,68,5,17,0,4,"מהר""ר שמואל הלוי"
G1480,G,person,True,I_person_entry,12,323,13,18,0,1,רבינו שרירא גאון
O0118,O,book,False,IV_book_external,12,437,4,4,0,6,ברכי יוסף
O0397,O,book,False,IV_book_external,12,392,9,1,0,0,מגילה (על נס פורים של קהילה)
O0406,O,book,False,IV_book_external,12,96,12,1,0,12,מגילת רות
O0540,O,book,False,IV_book_external,12,441,17,0,0,0,מסכת עבודה זרה
O0893,O,person,False,II_person_external,12,66,7,8,0,5,רבותינו זכרונם לברכה
O1035,O,person,False,II_person_external,12,170,5,9,0,0,רבי יעקב בן אשר בעל הטורים
O1111,O,person,False,II_person_external,12,246,6,10,0,3,רבי משה גלאנטי
O1289,O,book,False,IV_book_external,12,274,26,9,0,0,"שו""ת הרשב""א"
O1348,O,book,False,IV_book_external,12,94,13,1,0,12,שיר השירים
S0038,S,book,True,III_book_entry,12,95,5,8,0,0,אהלי תם
S0075,S,book,True,III_book_entry,12,169,14,2,0,9,אור תורה
S0180,S,book,True,III_book_entry,12,393,10,4,0,4,בדק הבית
S0572,S,book,True,III_book_entry,12,97,13,1,0,12,חבור על ספר בראשית
S0763,S,book,True,III_book_entry,12,228,9,9,0,5,ילקוט שמעוני
S1548,S,book,True,III_book_entry,12,233,12,3,0,1,"פסקי מהר""ם ריקאנטי"
S1557,S,book,True,III_book_entry,12,201,11,4,0,2,פרדס רמונים
S1644,S,book,True,III_book_entry,12,53,7,8,0,2,קול ברמה
S1756,S,book,True,III_book_entry,12,133,15,2,0,2,ראשית חכמה
S1782,S,book,True,III_book_entry,12,192,13,4,0,1,רקח
G0030,G,person,True,I_person_entry,11,31,5,9,0,7,"מהר""ר אברהם ברודא"
G0139,G,person,True,I_person_entry,11,81,13,16,0,3,"מהר""ר אהרן ששון"
G0169,G,person,True,I_person_entry,11,38,6,12,0,6,"מהר""ר אליה הלוי"
G0225,G,person,True,I_person_entry,11,160,2,11,0,9,"הג""מ אפרים הכהן מאוסטרא"
G0552,G,person,True,I_person_entry,11,200,5,13,0,3,"מהר""ר יהושע בנבנשתי"
G0620,G,person,True,I_person_entry,11,194,4,8,0,9,"מהר""ר יוסף יעבץ"
G0629,G,person,True,I_person_entry,11,253,2,30,0,0,"מהר""ר יוסף במהר""ר מאיר"
G0697,G,person,True,I_person_entry,11,199,8,13,0,4,"מהר""ר יעקב ווייל"
G0752,G,person,True,I_person_entry,11,276,13,22,0,3,רבינו יצחק בן אבא מרי
G0802,G,person,True,I_person_entry,11,66,6,11,0,10,"מהר""ר יצחק הכהן"
G1061,G,person,True,I_person_entry,11,213,2,9,0,0,רבינו משה הדרשן
O0324,O,book,False,IV_book_external,11,245,8,9,0,2,יד אהרן
O0543,O,book,False,IV_book_external,11,361,7,8,0,0,מסכת עירובין
O0549,O,book,False,IV_book_external,11,283,15,4,0,0,מסכת קידושין
O0580,O,book,False,IV_book_external,11,199,14,4,0,5,משנה
O0621,O,book,False,IV_book_external,11,136,11,5,0,0,סדר מועד
O0637,O,book,False,IV_book_external,11,199,13,1,0,4,ספר בראשית
O1163,O,person,False,II_person_external,11,302,7,12,0,16,רבי שמואל אליעזר הלוי איידלס
O1434,O,book,False,IV_book_external,11,373,15,1,0,1,תוספות שאנץ
S0309,S,book,True,III_book_entry,11,184,13,5,0,11,גט פשוט
S0345,S,book,True,III_book_entry,11,57,4,0,0,9,דברי אמת
S0465,S,book,True,III_book_entry,11,236,16,3,0,0,הלכות גדולות
S0563,S,book,True,III_book_entry,11,157,10,2,0,2,זרע אברהם
S0685,S,book,True,III_book_entry,11,229,4,5,0,6,חרדים
S0961,S,book,True,III_book_entry,11,126,15,6,0,4,מאירת עינים
S1165,S,book,True,III_book_entry,11,40,7,4,0,17,מרכבת המשנה
S1238,S,book,True,III_book_entry,11,173,9,3,0,1,נמוקי החומש
S1574,S,book,True,III_book_entry,11,179,19,12,0,4,פרישה ודרישה
S1840,S,book,True,III_book_entry,11,308,11,2,0,0,שיטה על מס' סוטה
S1904,S,book,True,III_book_entry,11,116,21,3,0,7,שערי דורא
S2040,S,book,True,III_book_entry,11,115,13,3,0,3,תשובות
G0029,G,person,True,I_person_entry,10,180,9,12,0,8,"מהר""ר אברהם"
G0537,G,person,True,I_person_entry,10,52,1,10,0,14,מה' יהודה עייאש
G0929,G,person,True,I_person_entry,10,228,5,8,0,6,"מהר""ר לוי ן' חביב"
G1057,G,person,True,I_person_entry,10,227,7,12,0,2,"מהר""ם גאלאנטי הזקן"
G1124,G,person,True,I_person_entry,10,230,13,13,0,1,רבינו משה (מקוצי
G1356,G,person,True,I_person_entry,10,244,14,24,0,0,רבינו שם טוב
G1362,G,person,True,I_person_entry,10,219,4,14,0,2,"מהר""ר שמואל אבוהב"
O0137,O,person,False,II_person_external,10,306,8,4,0,17,דוד המלך
O0453,O,person,False,II_person_external,10,147,9,15,0,7,"מהר""ר יוסף (בעל חידושים על הש""ס, בן דורו של החיד""א/מחבר)"
O0518,O,book,False,IV_book_external,10,234,9,2,0,0,מסכת הוריות
O0532,O,book,False,IV_book_external,10,443,12,0,0,0,מסכת מכות
O0655,O,book,False,IV_book_external,10,206,13,9,0,0,ספר המאור
O0666,O,book,False,IV_book_external,10,332,11,4,0,1,"ספר הקבלה לראב""ד (רבי אברהם בן דוד הלוי)"
O1014,O,person,False,II_person_external,10,530,12,10,0,0,רבי יוחנן הסנדלר
O1073,O,person,False,II_person_external,10,236,3,9,0,4,רבי ישראל (בעל אמרות טהורות)
O1366,O,person,False,II_person_external,10,203,4,11,0,4,"שמואל (אבי מהר""ר אברהם, אחי בעל פרי האדמה)"
S0019,S,book,True,III_book_entry,10,315,2,9,0,1,אגור
S0085,S,book,True,III_book_entry,10,29,7,0,0,0,אזהרות
S0271,S,book,True,III_book_entry,10,79,8,2,0,16,ברכת הזבח
S0397,S,book,True,III_book_entry,10,127,8,2,0,2,דרכי נועם
S0582,S,book,True,III_book_entry,10,67,10,1,0,4,"חבור על ש""ע"
S0994,S,book,True,III_book_entry,10,80,10,3,0,4,מגן אברהם
S1216,S,book,True,III_book_entry,10,223,8,8,0,5,נובלות חכמה
S1412,S,book,True,III_book_entry,10,295,10,2,0,2,עץ החיים
S1889,S,book,True,III_book_entry,10,103,9,1,0,7,שני לוחות הברית
S1921,S,book,True,III_book_entry,10,139,14,7,0,4,שפתי כהן
S1931,S,book,True,III_book_entry,10,69,9,6,0,9,שתי ידות
S2023,S,book,True,III_book_entry,10,166,9,3,0,2,תקוני הזהר
S2032,S,book,True,III_book_entry,10,161,6,4,0,1,ס' התרומה
G0309,G,person,True,I_person_entry,9,65,7,17,0,4,"מהר""ר גרשון אשכנזי"
G0326,G,person,True,I_person_entry,9,122,8,5,0,4,"מהר""ר דוד אופנהיים"
G0390,G,person,True,I_person_entry,9,83,6,7,0,16,הגאון מה' העשל
G0410,G,person,True,I_person_entry,9,146,8,12,0,3,"מהר""ר זרחיה גוטה"
G0541,G,person,True,I_person_entry,9,145,6,12,0,2,"מהר""ר יהודה קורדובירו"
G0602,G,person,True,I_person_entry,9,97,0,13,0,12,מה' יוסף דוד
G0651,G,person,True,I_person_entry,9,103,3,7,0,3,מה' יוסף קצבי
G0761,G,person,True,I_person_entry,9,103,9,10,0,3,"מהר""ר יצחק אזולאי"
G0772,G,person,True,I_person_entry,9,319,21,8,0,1,רבינו יצחק בר אשר הלוי
G0785,G,person,True,I_person_entry,9,172,12,17,0,2,רבינו יצחק מויינא
G0814,G,person,True,I_person_entry,9,105,15,10,0,0,מה' יצחק די ליאון
G0884,G,person,True,I_person_entry,9,65,16,21,0,7,"מהר""ר ישראל המכונה מהר""ר איסרלאן"
G0894,G,person,True,I_person_entry,9,79,8,10,0,2,"מהר""ר ישראל זאבי"
G0972,G,person,True,I_person_entry,9,251,8,12,0,7,"מהר""ם (מאיר) מפאדובה"
G1186,G,person,True,I_person_entry,9,49,0,13,0,2,"מהר""ר נתן שפירא"
G1378,G,person,True,I_person_entry,9,127,8,13,0,6,"מהר""ר שמואל גארמיזאן"
O0231,O,book,False,IV_book_external,9,99,10,3,0,12,התורה
O0519,O,book,False,IV_book_external,9,171,9,1,0,11,מסכת זבחים
O0539,O,book,False,IV_book_external,9,405,7,3,0,0,מסכת סוכה
O0711,O,book,False,IV_book_external,9,130,9,0,0,4,ספר תהלים
O0812,O,book,False,IV_book_external,9,404,0,9,0,9,פתח עינים
O1028,O,person,False,II_person_external,9,103,0,10,0,1,רבי יחיאל היילפרין
S0092,S,book,True,III_book_entry,9,91,5,7,0,7,אליה רבא
S0392,S,book,True,III_book_entry,9,153,18,11,0,2,דרך עץ חיים
S0469,S,book,True,III_book_entry,9,212,8,4,0,1,הלכות קטנות
S0613,S,book,True,III_book_entry,9,78,7,8,0,11,חזון נחום
S0858,S,book,True,III_book_entry,9,252,8,8,0,0,ס' כריתות
S0976,S,book,True,III_book_entry,9,214,6,6,0,0,מגדל עז
S1086,S,book,True,III_book_entry,9,87,8,3,0,1,מנות הלוי
S1140,S,book,True,III_book_entry,9,89,8,4,0,2,מצת שמורים
S1360,S,book,True,III_book_entry,9,103,8,1,0,3,עטור
S1413,S,book,True,III_book_entry,9,133,11,2,0,11,עץ החיים
S1856,S,book,True,III_book_entry,9,17,5,5,0,14,שלום הבית
S2041,S,book,True,III_book_entry,9,88,11,7,0,8,תשובת הגאונים
G0004,G,person,True,I_person_entry,8,92,18,2,0,1,רבינו אביגדור הכהן
